ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-08-05 00:00:00+00:00,34,1,585200,73.98,74.0,72.91,73.21,10835,CL.v.0
2024-08-05 01:00:00+00:00,34,1,585200,73.2,73.81,72.95,73.63,8575,CL.v.0
2024-08-05 02:00:00+00:00,34,1,585200,73.64,74.01,73.5,73.9,3630,CL.v.0
2024-08-05 03:00:00+00:00,34,1,585200,73.9,73.99,73.61,73.65,3012,CL.v.0
2024-08-05 04:00:00+00:00,34,1,585200,73.66,73.7,73.26,73.27,2971,CL.v.0
2024-08-05 05:00:00+00:00,34,1,585200,73.28,73.35,72.69,72.72,10169,CL.v.0
2024-08-05 06:00:00+00:00,34,1,585200,72.72,72.87,72.26,72.68,12687,CL.v.0
2024-08-05 07:00:00+00:00,34,1,585200,72.67,73.47,72.54,72.93,18401,CL.v.0
2024-08-05 08:00:00+00:00,34,1,585200,72.93,73.17,71.82,72.06,21473,CL.v.0
2024-08-05 09:00:00+00:00,34,1,585200,72.06,72.3,71.67,71.85,18030,CL.v.0
2024-08-05 10:00:00+00:00,34,1,585200,71.86,72.45,71.83,72.26,11469,CL.v.0
2024-08-05 11:00:00+00:00,34,1,585200,72.25,72.46,71.72,71.74,12560,CL.v.0
2024-08-05 12:00:00+00:00,34,1,585200,71.73,72.68,71.69,72.45,24472,CL.v.0
2024-08-05 13:00:00+00:00,34,1,585200,72.46,73.12,72.13,72.8,40139,CL.v.0
2024-08-05 14:00:00+00:00,34,1,585200,72.8,73.29,72.53,72.73,36373,CL.v.0
2024-08-05 15:00:00+00:00,34,1,585200,72.74,73.54,72.63,73.09,29299,CL.v.0
2024-08-05 16:00:00+00:00,34,1,585200,73.08,73.62,72.75,72.75,18303,CL.v.0
2024-08-05 17:00:00+00:00,34,1,585200,72.76,73.15,72.74,72.89,13335,CL.v.0
2024-08-05 18:00:00+00:00,34,1,585200,72.88,73.36,72.74,73.35,23973,CL.v.0
2024-08-05 19:00:00+00:00,34,1,585200,73.35,73.79,73.33,73.74,7126,CL.v.0
2024-08-05 20:00:00+00:00,34,1,585200,73.74,74.08,73.72,73.92,3820,CL.v.0
2024-08-05 22:00:00+00:00,34,1,585200,73.86,74.16,73.84,74.08,1844,CL.v.0
2024-08-05 23:00:00+00:00,34,1,585200,74.08,74.32,74.08,74.19,1073,CL.v.0
2024-08-06 00:00:00+00:00,34,1,585200,74.19,74.56,74.03,74.42,3919,CL.v.0
2024-08-06 01:00:00+00:00,34,1,585200,74.43,74.43,73.87,74.32,6839,CL.v.0
2024-08-06 02:00:00+00:00,34,1,585200,74.32,74.34,74.09,74.12,2001,CL.v.0
2024-08-06 03:00:00+00:00,34,1,585200,74.11,74.17,73.91,74.06,2331,CL.v.0
